source_id,citation_key,authors,year,title,cluster_id,priority,core_object,main_mechanism,project_role,phase1_note_count
PDF001,Hirano_Toda_2025b,Tomohiro Hirano; Alexis Akira Toda,2025,Unbalanced Growth and Land Overvaluation,C4,High,Land overvaluation theorem; land as store of value under unbalanced growth,"When non-land sectors experience faster technological progress and substitution elasticity between land and non-land factors exceeds one, land prices can rise above rent fundamentals even as land’s production role declines.",Core theorem for the review; explains land overvaluation through unbalanced growth rather than irrational exuberance.,7
PDF002,Hirano_Toda_2025a,Tomohiro Hirano; Alexis Akira Toda,2025,Land and Infinite Debt Rollover,C5,High,Infinite debt rollover in OLG economy with land,Unbalanced growth weakens the standard land-economy result that R>G blocks Ponzi rollover; land bubbles can coexist with Pareto efficiency and debt rollover.,Core source for debt rollover question and critique of R versus G reasoning when land is present.,7
PDF003,Hirano_Stiglitz_2025c,Tomohiro Hirano; Joseph E. Stiglitz,2025,"Credit, Land Speculation, and Low-Interest-Rate Policy",C3,High,"Low interest rates, credit composition, land speculation, long-run growth","Credit expansions tied to real estate financing and low-rate policy redirect savings toward land speculation, crowding out productive capital investment and reducing long-term productivity growth.",Core source for credit expansion and interest-rate policy mechanisms.,7
PDF004,Hirano_Stiglitz_2025b,Tomohiro Hirano; Joseph E. Stiglitz,2025,Growth and Fluctuations Economies with Land Speculation,C2,Medium,"Overview of OLG global dynamics with land, credit frictions, endogenous growth","Land introduces an alternative store of value and amplifies nonlinear rational-expectations dynamics, producing bounded but persistent fluctuations and possible stagnation traps.","Bridge paper that summarizes the research program and connects wobbly dynamics, land speculation, and credit.",7
PDF005,Hirano_Stiglitz_2025a,Tomohiro Hirano; Joseph E. Stiglitz,2025,"Henry George, Land Speculation, and Economic Growth and Transformation",C6,High,"Land speculation, land taxation, growth, institutional arrangements","Land speculation diverts savings away from productive capital; land taxes, rent taxation, and public ownership/nationalization can mitigate growth-retarding speculation.","Policy and institutional anchor; useful for connecting theory to land reform, taxation, and regulation.",7
PDF006,Hirano_Stiglitz_2022b,Tomohiro Hirano; Joseph E. Stiglitz,2022,The Wobbly Economy: Global Dynamics with Phase and State Transitions,C2,Medium,Wobbly macro-dynamics without land as baseline global-dynamics framework,"Multiplicity of momentary equilibria in a life-cycle model can generate bounded non-convergent rational-expectations paths, phase transitions, and hysteresis.",Theoretical baseline for understanding the later land-speculation models.,7
PDF007,Hirano_Stiglitz_2022a,Tomohiro Hirano; Joseph E. Stiglitz,2022,Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions,C2,High,Land speculation and endogenous boom-bust dynamics,Land prices interact with capital accumulation; rising land prices crowd out productive capital and can trigger endogenous phase transitions between unique and multiple equilibria.,"Core dynamic model for real-estate booms, busts, and rational land-price fluctuations.",7
PDF008,Hirano_Jinnai_Toda_2024,Tomohiro Hirano; Ryo Jinnai; Alexis Akira Toda,2024,"Leverage, Endogenous Unbalanced Growth, and Asset Price Bubbles",C4,High,"Leverage threshold, phase transition, unbalanced growth, land bubbles","Relaxed leverage strengthens the feedback loop between land prices and capital investment; beyond a critical threshold, the economy shifts from balanced fundamental valuation to unbalanced bubbly growth.","Formal bridge between finance, leverage, and unbalanced growth; complements the Land Overvaluation Theorem.",7
PDF009,Stiglitz_2015c,Joseph E. Stiglitz,2015,"The Measurement of Wealth: Recessions, Sustainability and Inequality",C1,High,"Wealth measurement, sustainability, land rents, missing capital","Measured wealth can rise through capitalized rents, especially land, without any increase in productive capacity; downturns can destroy unmeasured productive potential.",Measurement foundation for distinguishing land-value inflation from productive-capacity formation.,7
PDF010,Stiglitz_2015b,Joseph E. Stiglitz,2015,New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit,C1,High,"Land, credit, monetary policy, inequality","Land-price increases, bubbles, collateral rules, and lower interest rates can raise measured wealth and inequality while crowding out real capital accumulation.","Pre-Hirano/Stiglitz foundation for linking land, credit, wealth inequality, and financial policy.",7
PDF011,Stiglitz_2015a,Joseph E. Stiglitz,2015,New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual,C1,Medium,Wealth residual; capital versus wealth; rents,"The rise in wealth-income ratios cannot be explained by saving alone; land rents, exploitation rents, and intellectual-property rents help explain divergence between wealth and productive capital.",Conceptual starting point for why land-price capitalization matters for distribution and measurement.,7
PDF012,Toda_2025,Alexis Akira Toda,2025,Land Bubbles Despite Non-Vanishing Rents,C4,Medium,Land bubbles with constant housing rent yield,Separating pure land rent from rent on housing structures shows that land bubbles can exist even when observed housing rent-to-price ratios appear stationary.,Measurement warning: do not infer absence of land bubbles from aggregate housing rent yields.,7
PDF013,Hirano_Stiglitz_2024_stored2021,Tomohiro Hirano; Joseph E. Stiglitz,2024,"Credit, Land Speculation, and Long-Run Economic Growth",C3,High,"Sectoral credit expansion, real-estate finance, long-run growth","Credit to construction/real estate predicts productivity and growth slowdowns, while credit to manufacturing is growth-enhancing; land speculation can crowd out productive investment.",Core paper for task items 2.1 and 2.2; probably the main technical source before policy-updated versions.,7
PDF014,Hirano_Toda_2026,Tomohiro Hirano; Alexis Akira Toda,2026,"Land, G versus R, and Infinite Debt Rollover",C5,High,"Land, R versus G, debt rollover, unbalanced growth","The land economy changes the theoretical meaning of R versus G; balanced growth tends to restore R>G, while unbalanced growth can permit debt rollover and land bubbles.",Latest CIGS version for debt-rollover synthesis; compare against PDF002.,7
