cluster_id,cluster_name,cluster_question_id,question_id,question_text,expected_answer_type,status,related_source_ids,related_paper_titles,note_exists,note_path
C1,"Measurement, wealth-capital distinction, and rent capitalization",C1_Q01,C1_Q01,"Across PDF009–PDF011, what is the cleanest definition of the difference between wealth and productive capital?",Definition block,Pending,PDF009; PDF010; PDF011,"The Measurement of Wealth: Recessions, Sustainability and Inequality; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual",true,03_notes/questions/clusters/C1_Q01.md
C1,"Measurement, wealth-capital distinction, and rent capitalization",C1_Q02,C1_Q02,How do capitalized land rents generate increases in measured wealth without expanding productive capacity?,Mechanism paragraph,Pending,PDF009; PDF010; PDF011,"The Measurement of Wealth: Recessions, Sustainability and Inequality; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual",true,03_notes/questions/clusters/C1_Q02.md
C1,"Measurement, wealth-capital distinction, and rent capitalization",C1_Q03,C1_Q03,How does the wealth residual prepare the ground for the later land-bubble and credit-speculation papers?,Bridge paragraph,Pending,PDF009; PDF010; PDF011,"The Measurement of Wealth: Recessions, Sustainability and Inequality; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual",true,03_notes/questions/clusters/C1_Q03.md
C1,"Measurement, wealth-capital distinction, and rent capitalization",C1_Q04,C1_Q04,"What measurement warnings should be carried into any empirical analysis of land, housing, or real estate wealth?",Warning list,Pending,PDF009; PDF010; PDF011,"The Measurement of Wealth: Recessions, Sustainability and Inequality; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual",true,03_notes/questions/clusters/C1_Q04.md
C1,"Measurement, wealth-capital distinction, and rent capitalization",C1_Q05,C1_Q05,What elements of Stiglitz’s rent framework are closest to heterodox rent/financialization language?,Critical translation,Pending,PDF009; PDF010; PDF011,"The Measurement of Wealth: Recessions, Sustainability and Inequality; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual",true,03_notes/questions/clusters/C1_Q05.md
C2,"Wobbly dynamics, phase transitions, and land-price instability",C2_Q01,C2_Q01,What is the minimal explanation of wobbly dynamics suitable for investigators who do not work on nonlinear OLG theory?,Plain-language explanation,Pending,PDF006; PDF007; PDF004,The Wobbly Economy: Global Dynamics with Phase and State Transitions; Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions; Growth and Fluctuations Economies with Land Speculation,true,03_notes/questions/clusters/C2_Q01.md
C2,"Wobbly dynamics, phase transitions, and land-price instability",C2_Q02,C2_Q02,How does the introduction of land change the baseline wobbly economy relative to the no-land model?,Comparative mechanism,Pending,PDF006; PDF007; PDF004,The Wobbly Economy: Global Dynamics with Phase and State Transitions; Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions; Growth and Fluctuations Economies with Land Speculation,true,03_notes/questions/clusters/C2_Q02.md
C2,"Wobbly dynamics, phase transitions, and land-price instability",C2_Q03,C2_Q03,What are phase transitions and why do they matter for real-estate boom-bust cycles?,Definition + mechanism,Pending,PDF006; PDF007; PDF004,The Wobbly Economy: Global Dynamics with Phase and State Transitions; Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions; Growth and Fluctuations Economies with Land Speculation,true,03_notes/questions/clusters/C2_Q03.md
C2,"Wobbly dynamics, phase transitions, and land-price instability",C2_Q04,C2_Q04,How does land speculation crowd out capital accumulation in dynamic terms?,Mechanism paragraph,Pending,PDF006; PDF007; PDF004,The Wobbly Economy: Global Dynamics with Phase and State Transitions; Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions; Growth and Fluctuations Economies with Land Speculation,true,03_notes/questions/clusters/C2_Q04.md
C2,"Wobbly dynamics, phase transitions, and land-price instability",C2_Q05,C2_Q05,Which parts of the wobbly-dynamics cluster are essential for the final memo and which are background?,Prioritization,Pending,PDF006; PDF007; PDF004,The Wobbly Economy: Global Dynamics with Phase and State Transitions; Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions; Growth and Fluctuations Economies with Land Speculation,true,03_notes/questions/clusters/C2_Q05.md
C3,"Credit, land speculation, low rates, and capital crowding-out",C3_Q01,C3_Q01,What is the difference between aggregate credit expansion and sectoral credit expansion in the Hirano-Stiglitz credit papers?,Mechanism distinction,Pending,PDF013; PDF003,"Credit, Land Speculation, and Long-Run Economic Growth; Credit, Land Speculation, and Low-Interest-Rate Policy",true,03_notes/questions/clusters/C3_Q01.md
C3,"Credit, land speculation, low rates, and capital crowding-out",C3_Q02,C3_Q02,How exactly does credit to real estate or lower real-estate collateral requirements inflate land prices?,Causal chain,Pending,PDF013; PDF003,"Credit, Land Speculation, and Long-Run Economic Growth; Credit, Land Speculation, and Low-Interest-Rate Policy",true,03_notes/questions/clusters/C3_Q02.md
